monster_unique_id,monster_parent,monster_name,monster_origin,monster_type,monster_alignment,monster_ac,monster_hp,monster_speed,monster_str,monster_dex,monster_con,monster_int,monster_wis,monster_cha,monster_saving_throws,monster_damage_vulnerabilities,monster_damage_resistances,monster_damage_immunities,monster_condition_immunities,monster_senses,monster_languages,monster_skills,monster_challenge_rating,monster_unique_ability_paragraph_1,monster_unique_ability_paragraph_2,monster_unique_ability_paragraph_3,monster_unique_ability_paragraph_4,monster_unique_ability_paragraph_5,monster_unique_ability_paragraph_6,monster_unique_ability_paragraph_7,monster_action_paragraph_1,monster_action_paragraph_2,monster_action_paragraph_3,monster_action_paragraph_4,monster_action_paragraph_5,monster_action_paragraph_6,monster_action_paragraph_7,monster_legendary_action_paragraph_1,monster_legendary_action_paragraph_2,monster_legendary_action_paragraph_3,monster_legendary_action_paragraph_4,monster_legendary_action_paragraph_5,@image1,@image2
dndgpt_mon_0001,,Aboleth,srd 5.1,Large aberration,lawful evil,17 (natural armor),135 (18d10 + 36),"10 ft., swim 40 ft.",21 (+5),9 (-1),15 (+2),18 (+4),15 (+2),18 (+4),"Con +6, Int +8, Wis +6",,,poison,"charmed, poisoned","darkvision 120 ft., passive Perception 20","Deep Speech, telepathy 120 ft.","History +12, Perception +10","10 (5,900 XP)",Amphibious. The aboleth can breathe air and water.,"Mucous Cloud. While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.","Probing Telepathy. If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.",,,,,Multiattack. The aboleth makes three tentacle attacks.,"Tentacle. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.","Enslave (3/Day). The aboleth targets one creature it can see within 30 feet of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance. Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.",,,,,"The aboleth can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The aboleth regains spent legendary actions at the start of its turn.",Detect. The aboleth makes a Wisdom (Perception) check.,Tail Swipe. The aboleth makes one tail attack.,"Psychic Drain (Costs 2 Actions). One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.",,,
dndgpt_mon_0002,Angels,Deva,srd 5.1,"Medium celestial, lawful good",lawful good,17 (natural armor),136 (16d8 + 64),"30 ft., fly 90 ft.",18 (+4),18 (+4),18 (+4),17 (+3),20 (+5),20 (+5),"Wis +9, Cha +9",,"radiant; bludgeoning, piercing, and slashing from nonmagical attacks","fire, poison","charmed, exhaustion, frightened","darkvision 120 ft., passive Perception 19","all, telepathy 120 ft.","Insight +9, Perception +9","10 (5,900 XP)","Angelic Weapons. The deva's weapon attacks are magical. When the deva hits with any weapon, the weapon deals an extra 4d8 radiant damage (included in the attack).","Innate Spellcasting. The deva's spellcasting ability is Charisma (spell save DC 17). The deva can innately cast the following spells, requiring only verbal components: At will: detect evil and good; 1/day each: commune, raise dead.",Magic Resistance. The deva has advantage on saving throws against spells and other magical effects.,"Change Shape. The deva magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the deva's choice). In a new form, the deva retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and special senses are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks.",,,,Multiattack. The deva makes two melee attacks.,"Mace. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 18 (4d8) radiant damage.","Healing Touch (3/Day). The deva touches another creature. The target magically regains 20 (4d8 + 2) hit points and is freed from any curse, disease, poison, blindness, or deafness.",,,,,,,,,,,
dndgpt_mon_0003,Angels,Planetar,srd 5.1,"Large celestial, lawful good",,19 (natural armor),200 (16d10 + 112),"40 ft., fly 120 ft.",24 (+7),20 (+5),24 (+7),19 (+4),22 (+6),25 (+7),"CON +12, WIS +11, CHA +12",,"radiant; bludgeoning, piercing, and slashing from nonmagical attacks",,"charmed, exhaustion, frightened","truesight 120 ft., passive Perception 21","all, telepathy 120 ft.",Perception +11,"16 (15,000 XP)","Angelic Weapons. The planetar's weapon attacks are magical. When the planetar hits with any weapon, the weapon deals an extra 5d8 radiant damage (included in the attack).",Divine Awareness. The planetar knows if it hears a lie.,"Innate Spellcasting. The planetar's spellcasting ability is Charisma (spell save DC 20). The planetar can innately cast the following spells, requiring no material components: At will: detect evil and good, invisibility (self only) 3/day each: blade barrier, dispel evil and good, flame strike, raise dead",,,,,Multiattack. The planetar makes two melee attacks.,"Greatsword. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 21 (4d6 + 7) slashing damage plus 22 (5d8) radiant damage.",,,,,,,,,,,,
dndgpt_mon_0004,Angels,Solar,srd 5.1,"Large celestial, lawful good",lawful good,21 (natural armor),243 (18d10 + 144),"50 ft., fly 150 ft.",26 (+8),22 (+6),26 (+8),25 (+7),25 (+7),30 (+10),"Int +14, Wis +14, Cha +17",,"radiant; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison","charmed, exhaustion, frightened, poisoned","truesight 120 ft., passive Perception 24","all, telepathy 120 ft.",Perception +14,"21 (33,000 XP)","Angelic Weapons. The solar's weapon attacks are magical. When the solar hits with any weapon, the weapon deals an extra 6d8 radiant damage (included in the attack).",Divine Awareness. The solar knows if it hears a lie.,"Innate Spellcasting. The solar's spellcasting ability is Charisma (spell save DC 25). It can innately cast the following spells, requiring no material components: At will: detect evil and good, invisibility (self only) 3/day each: blade barrier, dispel evil and good, resurrection 1/day each: commune, control weather",,,,,Multiattack. The solar makes two greatsword attacks.,"Greatsword. Melee Weapon Attack: +15 to hit, reach 5 ft., one target. Hit: 22 (4d6 + 8) slashing damage plus 27 (6d8) radiant damage.","Slaying Longbow. Ranged Weapon Attack: +13 to hit, range 150/600 ft., one target. Hit: 15 (2d8 + 6) piercing damage plus 27 (6d8) radiant damage. If the target is a creature that has 100 hit points or fewer, it must succeed on a DC 15 Constitution saving throw or die.",Flying Sword. The solar releases its greatsword to hover magically in an unoccupied space within 5 feet of it.,,,,"The solar can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The solar regains spent legendary actions at the start of its turn.","Teleport. The solar magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.","Searing Burst (Costs 2 Actions). The solar emits magical, divine energy. Each creature of its choice in a 10-foot radius must make a DC 23 Dexterity saving throw, taking 14 (4d6) fire damage plus 14 (4d6) radiant damage on a failed save, or half as much damage on a successful one.","Blinding Gaze (Costs 3 Actions). The solar targets one creature it can see within 30 feet of it. If the target can see it, the target must succeed on a DC 15 Constitution saving throw or be blinded until magic such as the lesser restoration spell removes the blindness.",,,
dndgpt_mon_0005,Animated Objects,Animated Armor,srd 5.1,"Medium construct, unaligned",,18 (natural armor),33 (6d8 + 6),25 ft.,14 (+2),11 (+0),13 (+1),1 (-5),3 (-4),1 (-5),,,,"poison, psychic","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned","blindsight 60 ft. (blind beyond this radius), passive Perception 6",-,,1 (200 XP),"Antimagic Susceptibility. The armor is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the armor must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.","False Appearance. While the armor remains motionless, it is indistinguishable from a normal suit of armor.",,,,,,Multiattack. The armor makes two melee attacks.,"Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.",,,,,,,,,,,,
dndgpt_mon_0006,Animated Objects,Flying Sword,srd 5.1,"Small construct, unaligned",,17 (natural armor),17 (5d6),"0 ft., fly 50 ft. (hover)",12 (+1),15 (+2),11 (+0),1 (-5),5 (-3),1 (-5),Dex +4,,,"poison, psychic","blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned","blindsight 60 ft. (blind beyond this radius), passive Perception 7",-,,1/4 (50 XP),"Antimagic Susceptibility. The sword is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the sword must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.","False Appearance. While the sword remains motionless and isn't flying, it is indistinguishable from a normal sword.",,,,,,Multiattack. The sword makes two melee attacks.,"Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.",,,,,,,,,,,,
dndgpt_mon_0007,Animated Objects,Rug of Smothering,srd 5.1,"Large construct, unaligned",,12,33 (6d10),10 ft.,17 (+3),14 (+2),10 (+0),1 (-5),3 (-4),1 (-5),DEX +4,,,"poison, psychic","blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned","blindsight 60 ft. (blind beyond this radius), passive Perception 6",-,,2 (450 XP),"Antimagic Susceptibility. The rug is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the rug must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.","Damage Transfer. While it is grappling a creature, the rug takes only half the damage dealt to it, and the creature grappled by the rug takes the other half.","False Appearance. While the rug remains motionless, it is indistinguishable from a normal rug.",,,,,"Smother. Melee Weapon Attack: +5 to hit, reach 5 ft., one Medium or smaller creature. Hit: The creature is grappled (escape DC 13). Until this grapple ends, the target is restrained, blinded, and at risk of suffocating, and the rug can't smother another target. In addition, at the start of each of the target's turns, the target takes 10 (2d6 + 3) bludgeoning damage.",,,,,,,,,,,,,
dndgpt_mon_0008,Animated Objects,Animated Armor,srd 5.1,"Medium construct, unaligned",,18 (natural armor),33 (6d8 + 6),25 ft.,14 (+2),11 (+0),13 (+1),1 (-5),3 (-4),1 (-5),"DEX +2, CON +3",,,"poison, psychic","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned","blindsight 60 ft. (blind beyond this radius), passive Perception 6",-,,1 (200 XP),"Antimagic Susceptibility. The armor is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the armor must succeed on a DC Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.","False Appearance. While the armor remains motionless, it is indistinguishable from a normal suit of armor.",,,,,,Multiattack. The armor makes two melee attacks.,"Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.",,,,,,,,,,,,
dndgpt_mon_0009,Animated Objects,Flying Sword,srd 5.1,"Small construct, unaligned",,17 (natural armor),17 (5d6),"0 ft., fly 50 ft. (hover)",12 (+1),15 (+2),11 (+0),1 (-5),5 (-3),1 (-5),Dex +4,,,"poison, psychic","blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned","blindsight 60 ft. (blind beyond this radius), passive Perception 7",-,,1/4 (50 XP),"Antimagic Susceptibility. The sword is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the sword must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.","False Appearance. While the sword remains motionless and isn't flying, it is indistinguishable from a normal sword.",,,,,,Multiattack. The sword makes two melee attacks.,"Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.",,,,,,,,,,,,
dndgpt_mon_0010,Animated Objects,Rug of Smothering,srd 5.1,"Large construct, unaligned",,12,33 (6d10),10 ft.,17 (+3),14 (+2),10 (+0),1 (-5),3 (-4),1 (-5),,,,"poison, psychic","blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned","blindsight 60 ft. (blind beyond this radius), passive Perception 6",-,,2 (450 XP),"Antimagic Susceptibility. The rug is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the rug must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.","Damage Transfer. While it is grappling a creature, the rug takes only half the damage dealt to it, and the creature grappled by the rug takes the other half.","False Appearance. While the rug remains motionless, it is indistinguishable from a normal rug.",,,,,"Smother. Melee Weapon Attack: +5 to hit, reach 5 ft., one Medium or smaller creature. Hit: The creature is grappled (escape DC 13). Until this grapple ends, the target is restrained, blinded, and at risk of suffocating, and the rug can't smother another target. In addition, at the start of each of the target's turns, the target takes 10 (2d6 + 3) bludgeoning damage.",,,,,,,,,,,,,
dndgpt_mon_0011,,Ankheg,srd 5.1,"Large monstrosity, unaligned",,"14 (natural armor), 11 while prone",39 (6d10 + 6),"30 ft., burrow 10 ft.",17 (+3),11 (+0),13 (+1),1 (-5),13 (+1),6 (-2),"CON +3, WIS +3",,,,,"darkvision 60 ft., tremorsense 60 ft., passive Perception 11",-,,2 (450 XP),,,,,,,,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage plus 3 (1d6) acid damage. If the target is a Large or smaller creature, it is grappled (escape DC 13). Until this grapple ends, the ankheg can bite only the grappled creature and has advantage on attack rolls to do so.","Acid Spray (Recharge 6). The ankheg spits acid in a line that is 30 feet long and 5 feet wide, provided that it has no creature grappled. Each creature in that line must make a DC 13 Dexterity saving throw, taking 10 (3d6) acid damage on a failed save, or half as much damage on a successful one.",,,,,,,,,,,,
